WKT_,WKT,latitude,longitude
"POINT (-6.8654988 33.9648283)",POINT (-6.8654988 33.9648283),33.9648283,-6.8654988
"POINT (-6.8671117 33.9674129)",POINT (-6.8671117 33.9674129),33.9674129,-6.8671117
"POINT (-6.877184 33.9753751)",POINT (-6.877184 33.9753751),33.9753751,-6.877184
"POINT (-6.8779707 33.965293)",POINT (-6.8779707 33.965293),33.965293,-6.8779707
"POINT (-6.8664161 33.9703984)",POINT (-6.8664161 33.9703984),33.9703984,-6.8664161
"POINT (-6.8643789 33.9692193)",POINT (-6.8643789 33.9692193),33.9692193,-6.8643789
"POINT (-6.881337 33.9701215)",POINT (-6.881337 33.9701215),33.9701215,-6.881337
"POINT (-6.8626908 33.9703874)",POINT (-6.8626908 33.9703874),33.9703874,-6.8626908
"POINT (-6.8659435 33.9643465)",POINT (-6.8659435 33.9643465),33.9643465,-6.8659435
"POINT (-6.8726892 33.9742367)",POINT (-6.8726892 33.9742367),33.9742367,-6.8726892
"POINT (-6.8819258 33.974968)",POINT (-6.8819258 33.974968),33.974968,-6.8819258
"POINT (-6.8694469 33.9681945)",POINT (-6.8694469 33.9681945),33.9681945,-6.8694469
"POINT (-6.8628787 33.9685733)",POINT (-6.8628787 33.9685733),33.9685733,-6.8628787
"POINT (-6.8716517 33.9689228)",POINT (-6.8716517 33.9689228),33.9689228,-6.8716517
"POINT (-6.877724 33.9656638)",POINT (-6.877724 33.9656638),33.9656638,-6.877724
"POINT (-6.8329943 33.991841)",POINT (-6.8329943 33.991841),33.991841,-6.8329943
"POINT (-6.8313009 33.994123)",POINT (-6.8313009 33.994123),33.994123,-6.8313009
"POINT (-6.8192082 33.9875858)",POINT (-6.8192082 33.9875858),33.9875858,-6.8192082
"POINT (-6.818695 33.9856494)",POINT (-6.818695 33.9856494),33.9856494,-6.818695
"POINT (-6.8262627 33.9944404)",POINT (-6.8262627 33.9944404),33.9944404,-6.8262627
"POINT (-6.824712 33.9859656)",POINT (-6.824712 33.9859656),33.9859656,-6.824712
"POINT (-6.829316 33.9900654)",POINT (-6.829316 33.9900654),33.9900654,-6.829316
"POINT (-6.8191702 33.991937)",POINT (-6.8191702 33.991937),33.991937,-6.8191702
"POINT (-6.829547 33.9947724)",POINT (-6.829547 33.9947724),33.9947724,-6.829547
"POINT (-6.8348776 33.9949303)",POINT (-6.8348776 33.9949303),33.9949303,-6.8348776
"POINT (-6.8194259 33.9930671)",POINT (-6.8194259 33.9930671),33.9930671,-6.8194259
"POINT (-6.8370487 33.9929489)",POINT (-6.8370487 33.9929489),33.9929489,-6.8370487
"POINT (-6.8310335 33.9909917)",POINT (-6.8310335 33.9909917),33.9909917,-6.8310335
"POINT (-6.8374361 33.9866991)",POINT (-6.8374361 33.9866991),33.9866991,-6.8374361
"POINT (-6.8309699 33.9920895)",POINT (-6.8309699 33.9920895),33.9920895,-6.8309699
"POINT (-6.827043 33.9869408)",POINT (-6.827043 33.9869408),33.9869408,-6.827043
"POINT (-6.8365114 33.9878047)",POINT (-6.8365114 33.9878047),33.9878047,-6.8365114
"POINT (-6.8358249 33.9867048)",POINT (-6.8358249 33.9867048),33.9867048,-6.8358249
"POINT (-6.8226629 33.9932568)",POINT (-6.8226629 33.9932568),33.9932568,-6.8226629
"POINT (-6.835958 33.9897666)",POINT (-6.835958 33.9897666),33.9897666,-6.835958
"POINT (-6.829471 33.986763)",POINT (-6.829471 33.986763),33.986763,-6.829471
"POINT (-6.8323426 33.9898026)",POINT (-6.8323426 33.9898026),33.9898026,-6.8323426
"POINT (-6.8239937 33.9948563)",POINT (-6.8239937 33.9948563),33.9948563,-6.8239937
"POINT (-6.8278179 33.9866017)",POINT (-6.8278179 33.9866017),33.9866017,-6.8278179
"POINT (-6.8237019 33.9858569)",POINT (-6.8237019 33.9858569),33.9858569,-6.8237019
"POINT (-6.8246039 33.9959429)",POINT (-6.8246039 33.9959429),33.9959429,-6.8246039
"POINT (-6.8206612 33.9882962)",POINT (-6.8206612 33.9882962),33.9882962,-6.8206612
"POINT (-6.822061 33.9919935)",POINT (-6.822061 33.9919935),33.9919935,-6.822061
"POINT (-6.829786 33.987641)",POINT (-6.829786 33.987641),33.987641,-6.829786
"POINT (-6.8355075 33.9913385)",POINT (-6.8355075 33.9913385),33.9913385,-6.8355075
"POINT (-6.8319911 33.9893134)",POINT (-6.8319911 33.9893134),33.9893134,-6.8319911
"POINT (-6.8238846 33.9866557)",POINT (-6.8238846 33.9866557),33.9866557,-6.8238846
"POINT (-6.8364495 33.9858584)",POINT (-6.8364495 33.9858584),33.9858584,-6.8364495
"POINT (-6.8290944 33.9841003)",POINT (-6.8290944 33.9841003),33.9841003,-6.8290944
"POINT (-6.8332206 33.9882953)",POINT (-6.8332206 33.9882953),33.9882953,-6.8332206
"POINT (-6.8234205 33.9937822)",POINT (-6.8234205 33.9937822),33.9937822,-6.8234205
"POINT (-6.8304745 33.9954621)",POINT (-6.8304745 33.9954621),33.9954621,-6.8304745
"POINT (-6.8287187 33.9948951)",POINT (-6.8287187 33.9948951),33.9948951,-6.8287187
"POINT (-6.8196271 33.9846727)",POINT (-6.8196271 33.9846727),33.9846727,-6.8196271
"POINT (-6.8575198 34.0081917)",POINT (-6.8575198 34.0081917),34.0081917,-6.8575198
"POINT (-6.8592876 34.0035007)",POINT (-6.8592876 34.0035007),34.0035007,-6.8592876
"POINT (-6.8593601 34.0111579)",POINT (-6.8593601 34.0111579),34.0111579,-6.8593601
"POINT (-6.8659699 34.008134)",POINT (-6.8659699 34.008134),34.008134,-6.8659699
"POINT (-6.8610373 34.0134729)",POINT (-6.8610373 34.0134729),34.0134729,-6.8610373
"POINT (-6.85208 34.0122661)",POINT (-6.85208 34.0122661),34.0122661,-6.85208
"POINT (-6.8550009 34.0137658)",POINT (-6.8550009 34.0137658),34.0137658,-6.8550009
"POINT (-6.8652161 34.0106342)",POINT (-6.8652161 34.0106342),34.0106342,-6.8652161
"POINT (-6.8583993 34.0059007)",POINT (-6.8583993 34.0059007),34.0059007,-6.8583993
"POINT (-6.8557476 34.0040607)",POINT (-6.8557476 34.0040607),34.0040607,-6.8557476
"POINT (-6.8551367 34.0142216)",POINT (-6.8551367 34.0142216),34.0142216,-6.8551367
"POINT (-6.8583719 34.0120547)",POINT (-6.8583719 34.0120547),34.0120547,-6.8583719
